number,title,duration,link
001,Folge Null,68.36,https://baywatch-berlin.podigee.io/2-folge-null
002,Schmitt rastet aus,69.83,https://baywatch-berlin.podigee.io/3-schmitt-rastet-aus
003,Todesangst auf der Schweineinsel,65.15,https://baywatch-berlin.podigee.io/4-todesangst-auf-der-schweineinsel
004,Aftershow am Everest,55.88,https://baywatch-berlin.podigee.io/5-aftershow-am-everest
005,Schrottwichteln am Promitresen (zensiert),78.43,https://baywatch-berlin.podigee.io/6-schrottwichteln
006,Kurt Cobain im Outlet-Center,82.07,https://baywatch-berlin.podigee.io/7-kurt-cobain
007,Backpfeifen im Fernsehstudio,78.53,https://baywatch-berlin.podigee.io/8-backpfeifen-im-fernsehstudio
008,Mit Trauerflor im Heidepark,75.22,https://baywatch-berlin.podigee.io/9-mit-trauerflor-im-heidepark
009,Mopshoden im Olympiastadion,83.04,https://baywatch-berlin.podigee.io/10-neue-episode
010,Hooligan im Körper von Mr. Burns,80.26,https://baywatch-berlin.podigee.io/11-mr-burns
011,Träumen in der Gottschalk-Suite,83.52,https://baywatch-berlin.podigee.io/12-gottschalk-suite
012,Revenge of the Euromaus,76.02,https://baywatch-berlin.podigee.io/13-folge-12
013,Freche Wichser im Auge des Shitstorms,69.18,https://baywatch-berlin.podigee.io/14-shitstorm
014,Der Swinger ist ein scheues Reh (zensiert),82.48,https://baywatch-berlin.podigee.io/15-neue-episode
015,Raus aus der Gefahrenzone,85.61,https://baywatch-berlin.podigee.io/16-neue-episode
016,Endstation: TV Podcast,69.91,https://baywatch-berlin.podigee.io/17-tv-podcast
017,True Crime auf der Tartanbahn (Uncut),81.84,https://baywatch-berlin.podigee.io/18-true-crime
018,"Der Bub, der kann nix! (Uncut)",75.95,https://baywatch-berlin.podigee.io/19-der-kann-nix
019,Karrierekiller Sexschamane,73.91,https://baywatch-berlin.podigee.io/20-sexschamane
020,Quotendruck mit Porno-Müller,77.35,https://baywatch-berlin.podigee.io/21-porno-mueller
021,Charity im Drogenpark,72.66,https://baywatch-berlin.podigee.io/22-neue-episode
022,Der Diktator mit der Stinkenase,73.78,https://baywatch-berlin.podigee.io/23-23-23-23-der-diktator
023,Die unerträgliche Einsamkeit des Piñata-Verkäufers,74.7,https://baywatch-berlin.podigee.io/25-pinata-verkauefer
024,Joe Echsotics hundertjähriger Umzug,75.22,https://baywatch-berlin.podigee.io/27-joe-echotics-hundertjahriger-umzug
025,Der Club der blauen Haken,88.6,https://baywatch-berlin.podigee.io/28-der-club-der-blauen-haken
026,Die Nerven vs. Stefan Raab,77.62,https://baywatch-berlin.podigee.io/29-die-nerven-vs-stefan-raab
027,Das Duell um die Bordtoilette,87.83,https://baywatch-berlin.podigee.io/30-duell-der-bordtoilette
028,Wie Phönix ohne Asche,93.13,https://baywatch-berlin.podigee.io/31-neue-episode
029,Fear & Loathing im Kreiswehrersatzamt (Uncensored),92.62,https://baywatch-berlin.podigee.io/32-uncensored
030,Die Stanglwirt-Verschwörung (feat. Joko W.),88.39,https://baywatch-berlin.podigee.io/33-stanglwirtverschwoerung
031,Haschfüchse im Bingobus,88.0,https://baywatch-berlin.podigee.io/b1-summerbreeze-1
032,"„Nimm mal die 12er, sonst wirste nicht braun!“",103.49,https://baywatch-berlin.podigee.io/35-summer-breeze-2
033,"„Inspiring, du Idiot!“",88.86,https://baywatch-berlin.podigee.io/36-inspiring-du-idiot
034,Das Baader-Meinhof-Himbeertörtchen,94.06,https://baywatch-berlin.podigee.io/37-himbeertoertchen
035,Drei abgewichste Showmäuse,92.7,https://baywatch-berlin.podigee.io/38-drei-abgewichste-showmause
036,Captains Dinner bei Aufpuste-Schmitt,124.98,https://baywatch-berlin.podigee.io/39-captains-dinner-bei-aufpuste-schmitt
037,"„Komm setz dich hin, du Affe!“",94.99,https://baywatch-berlin.podigee.io/40-komm-setz-dich-hin-du-affe
038,"§§ 223,224 StGB zum Nachteil des Herrn Klaas Heufer-Umlauf",94.54,https://baywatch-berlin.podigee.io/41-neue-episode
039,Willkommen im Dreck. (Heute nennen wir Namen),93.17,https://baywatch-berlin.podigee.io/42-willkommen-im-dreck-heute-nennen-wir-namen
040,Trash-TV im goldenen Handschuh,96.74,https://baywatch-berlin.podigee.io/43-der-goldene-handschuh-des-trash-tv
041,Spreeverbot für Aufpuste-Schmitt,92.56,https://baywatch-berlin.podigee.io/44-spreeverbot-fur-aufpuste-schmitt
042,Flotte Sprüche auf dem Quotenkarussell,95.99,https://baywatch-berlin.podigee.io/45-flotte-sprueche
043,"„Sattelt die Katzen, heute geht‘s ins KaDeWe!“",94.34,https://baywatch-berlin.podigee.io/46-sattelt-die-katzen-heute-gehts-ins-kadewe
044,"Comedypreis, you did it again!",89.41,https://baywatch-berlin.podigee.io/47-you-did-it-again-comedypreis
045,Der Titelvorschlag kam zu spät,91.66,https://baywatch-berlin.podigee.io/48-das-promipferd-im-fundburo
046,Hass aus dem Seniorensessel,89.76,https://baywatch-berlin.podigee.io/49-hass-aus-dem-seniorensessel
047,...und Drosten sagt ganz sanft „Hallo.“,94.88,https://baywatch-berlin.podigee.io/50-und-drosten-sagt-ganz-sanft-hallo
048,Das Knistern des Platin-Hamsters,90.1,https://baywatch-berlin.podigee.io/51-hamster
049,Fernsehverbot für Klaas Heufer-Umlauf,96.58,https://baywatch-berlin.podigee.io/52-fernsehverbot-fur-klaas-heufer-umlauf
050,Blue Jeans für Günther Jauch,87.76,https://baywatch-berlin.podigee.io/53-blue-jeans
051,Geburtstag in der Präsidentensuite (mit Thomas Gottschalk),93.64,https://baywatch-berlin.podigee.io/54-geburtstag-in-der-prasidentensuite-mit-thomas-gottschalk
052,Maximale Catchyness bei minimaler Cheesyness,99.38,https://baywatch-berlin.podigee.io/55-maximale-catchyness-bei-minimaler-cheesyness
053,Der Schönheitswahn der Bubble Boys,97.59,https://baywatch-berlin.podigee.io/56-der-schonheitswahn-der-bubble-boys
054,Harry Potter und die geheimnisvolle Kompost-Bestattung,82.08,https://baywatch-berlin.podigee.io/57-harry-potter-und-die-geheimnisvolle-kompost-bestattung
055,Der Che Guevara der Stinkesocken,86.49,https://baywatch-berlin.podigee.io/58-der-che-guevara-der-stinkesocken
056,Schmitt gönnt Jesus,95.18,https://baywatch-berlin.podigee.io/59-schmitt-gonnt-jesus
057,Drogencocktail auf dem Traumschiff,82.17,https://baywatch-berlin.podigee.io/60-drogencocktail-auf-dem-traumschiff
058,Balenciaga-Verbot für Jan Hofer,91.81,https://baywatch-berlin.podigee.io/61-balenciaga
059,Die Fettecke im Grill Royal,92.59,https://baywatch-berlin.podigee.io/62-neue-episode
060,Der Klaas-Heufer-Umlauf-Rentenfonds,88.04,https://baywatch-berlin.podigee.io/63-der-klaas-heufer-umlauf-rentenfonds
061,Harter Rave auf dünnem Eis,89.17,https://baywatch-berlin.podigee.io/64-harter-rave-auf-dunnem-eis
062,Oma Schatzi & Hein Flint,81.44,https://baywatch-berlin.podigee.io/65-oma-schatzi-hein-flint
063,GANZ BERLIN HASST JAKOB LUNDT,94.76,https://baywatch-berlin.podigee.io/66-ganz-berlin-hasst-jakob-lundt
064,Die große Prosieben-Diffamierungs-Show,82.26,https://baywatch-berlin.podigee.io/67-die-grosse-prosieben-diffamierungs-show
065,Schlecht gelaunt im Rampenlicht,75.79,https://baywatch-berlin.podigee.io/68-schlecht-gelaunt-im-rampenlicht
066,Shownotes für die Kanzlerin,78.95,https://baywatch-berlin.podigee.io/69-shownotes-fur-die-kanzlerin
067,"„Dann geh doch nach Wembley, du Otto!“",68.47,https://baywatch-berlin.podigee.io/70-dann-geh-doch-nach-wembley-du-otto
068,Das Blödelduo Jesus & Klaas,77.8,https://baywatch-berlin.podigee.io/71-das-blodelduo-jesus-klaas
069,Söder & die Kreatur vom Baum,70.49,https://baywatch-berlin.podigee.io/72-soder-die-kreatur-vom-baum
070,Meikel Jordan & der gelbe Mann,74.92,https://baywatch-berlin.podigee.io/73-meikel-jordan-der-gelbe-mann
071,"Beisenherz, die dumme Sau.",74.36,https://baywatch-berlin.podigee.io/74-beisenherz-die-dumme-sau
072,Geschichten aus der Stinkebox,75.07,https://baywatch-berlin.podigee.io/75-geschichten-aus-der-stinkebox
073,GANZ BERLIN LIEBT THOMAS SCHMITT,73.68,https://baywatch-berlin.podigee.io/76-ganz-berlin-liebt-thomas-schmitt
074,Käfigfight der Murmelpromis,78.47,https://baywatch-berlin.podigee.io/77-kafigfight-der-murmelpromis
075,Shortseller am Honigstand,92.32,https://baywatch-berlin.podigee.io/78-shortseller-am-honigstand
076,F*R*I*E*N*D*S (but dead inside),80.02,https://baywatch-berlin.podigee.io/79-friends-but-dead-inside
077,Toni Coroni & die lustige EM-Ratte,96.81,https://baywatch-berlin.podigee.io/80-toni-coroni-die-lustige-em-ratte
078,Heroin mit Holundergeschmack,84.88,https://baywatch-berlin.podigee.io/81-heroin-mit-holundergeschmack
079,„Wie viel Knete gibt es für den Dreck?“,91.16,https://baywatch-berlin.podigee.io/82-wie-viel-knete-gibt-es-fur-den-dreck
080,Im freien Fall (Sommerspecial),71.27,https://baywatch-berlin.podigee.io/83-im-freien-fall-sommerspecial
081,Die Horrorgrotte von Capri,93.85,https://baywatch-berlin.podigee.io/84-die-horrorgrotte-von-capri
082,Reptilienstarre mit Baklava (feat. Joko Winterscheidt),93.87,https://baywatch-berlin.podigee.io/85-reptilienstarre-mit-baklava-feat-joko-winterscheidt
083,Haftbefehl vom Bofrostmann,77.4,https://baywatch-berlin.podigee.io/86-neue-episode
084,Das Gottesteilchen von Cala Ratata,80.95,https://baywatch-berlin.podigee.io/87-das-gottesteilchen-von-cala-ratata
085,Der weiße Schwabbel. Aber normal.,72.07,https://baywatch-berlin.podigee.io/88-der-weisse-schwabbel-aber-normal
086,Löwen gegen Murmelpromis,74.45,https://baywatch-berlin.podigee.io/89-lowen-gegen-murmelpromis
087,Stimmungslage: Cordon Bleu,68.02,https://baywatch-berlin.podigee.io/90-stimmungslage-cordon-bleu
088,Die Jakob-Passion (mit Kai Pflaume),93.25,https://baywatch-berlin.podigee.io/91-die-jakob-passion-mit-kai-pflaume
089,Kanye & die Hummelfrieks,88.77,https://baywatch-berlin.podigee.io/92-kanye-die-hummelfrieks
090,"Meeting is over, fuck off.",78.92,https://baywatch-berlin.podigee.io/93-meeting-is-over-fuck-off
091,Getuschel bei der Preisverleihung,84.27,https://baywatch-berlin.podigee.io/94-getuschel-bei-der-preisverleihung
092,Zu asozial für Dr.Beisenherz,76.79,https://baywatch-berlin.podigee.io/95-zu-asozial-fuer-drbeisenherz
093,Angst essen Döner auf,81.34,https://baywatch-berlin.podigee.io/96-angst-essen-doner-auf
094,Reizthema: Zaubertricks,91.05,https://baywatch-berlin.podigee.io/97-reizthema-zaubertricks
095,Squid Games für Kippen-Kevin,84.27,https://baywatch-berlin.podigee.io/98-squid-games-fur-kippen-kevin
096,Kuschelpromi Guido K.,74.05,https://baywatch-berlin.podigee.io/99-kuschelpromi-guido-k
097,Ein Hund namens F.,75.12,https://baywatch-berlin.podigee.io/101-ein-hund-namens-f
098,Creeplord Schmitt & der kleine Drache,79.19,https://baywatch-berlin.podigee.io/102-neue-episode
099,Von der Wettcouch in die Stinkebox,73.28,https://baywatch-berlin.podigee.io/103-neue-episode
